"last_name, first_name","player_id","year","k_percent","bb_percent","woba","xwoba","xobp","wobacon","xwobacon","avg_swing_speed","squared_up_contact","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_hyper_speed","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Profar, Jurickson",595777,2023,17.3,9.6,".304",".306",".329",".319",".320","71",34.5,50.2,"86.5",37.7,4,5.1,31.8,"92.606877674",68.8,25.1,87.6,20
"Díaz, Yandy",650490,2023,15.7,10.8,".402",".383",".391",".439",".413","73.8",35.8,44.5,"93.4",30.5,9.5,6.5,54,"97.074568747",65.5,19.7,88.1,18.4
"Realmuto, J.T.",592663,2023,25.6,6.5,".324",".334",".315",".406",".421","73.5",28.6,48.6,"89.8",36.2,11.2,7,43.3,"94.961935393",70.7,30.6,81.4,26.2
"Dubón, Mauricio",643289,2023,14.2,3.9,".311",".303",".306",".343",".334","69.8",34.6,43.7,"87",37,4.5,5.3,29.5,"92.50482157",76.1,40.7,85.2,17.7
"Candelario, Jeimer",600869,2023,22,9.2,".346",".318",".323",".400",".359","69.3",31.3,50.2,"88.3",36.9,7.9,7.3,36.4,"93.708029184",68.1,28.3,83.9,24.2
"Bogaerts, Xander",593428,2023,16.5,8.4,".343",".318",".325",".374",".341","70.4",37.9,52.7,"87.6",28.3,6.1,4.5,34.6,"93.284202061",59.1,25.2,86.2,20.4
"McMahon, Ryan",641857,2023,31.6,10.8,".325",".335",".328",".435",".452","72.2",26.2,39.7,"90.8",39.4,11.4,6.4,44.2,"95.343043101",67.6,25.4,73.6,32.3
"Marcano, Tucupita",672779,2023,15.9,4.5,".275",".292",".294",".299",".321","65.7",32,63.3,"88.3",32,5.2,5.2,34.9,"93.051435926",72.4,29.4,88,15.6
"Gallo, Joey",608336,2023,42.8,14.5,".320",".295",".277",".512",".454","73.9",22,41.8,"93",28.6,19.3,5.7,52.9,"97.127446835",71.6,25.9,65.5,44.3
"Arcia, Orlando",606115,2023,19.1,7.3,".321",".307",".306",".365",".345","71.1",32.5,61,"88.2",30.6,6.9,4.6,41.1,"93.735384508",65.4,26.4,82.3,24.3
"Soler, Jorge",624585,2023,24.3,11.4,".361",".374",".354",".437",".458","75.8",30.7,58.8,"91.3",36.5,15,10.4,48,"95.950783079",66.7,25.6,80.5,27.6
"Trejo, Alan",676701,2023,22.5,7,".277",".276",".290",".322",".320","67.8",31.9,49.7,"85.5",36.5,4.4,6.3,22.6,"91.440444522",69.8,32.4,84.2,21.9
"Wade Jr., LaMonte",664774,2023,18.3,14.6,".347",".360",".377",".363",".382","72.8",34.3,45.1,"88.4",33.6,9.1,5.8,39.8,"93.945744444",62,17.9,87,20.8
"Ward, Taylor",621493,2023,19.6,9.5,".329",".338",".341",".360",".374","69.5",31.9,55.8,"90.7",34,8.2,6,43.9,"94.588852374",66.8,23.2,87.5,21.1
"Duran, Jarren",680776,2023,24.9,6.6,".354",".319",".324",".447",".397","73.4",30.9,39.2,"89.9",32,5.3,9.8,46.3,"95.439128926",73.2,30.1,85.7,24.6
"Thomas, Lane",657041,2023,25.8,5.3,".334",".319",".305",".424",".403","71.7",39.9,66.3,"88.5",36.8,9.6,6.5,40.7,"94.319062004",61.1,27.2,87.4,23
"Newman, Kevin",621028,2023,13.4,6.7,".296",".311",".331",".303",".323","66.9",35.3,61.5,"86.5",35.4,2.5,5.1,29.3,"92.359183077",64.8,26.8,89.3,14.8
"Vargas, Ildemaro",545121,2023,7,6.6,".292",".303",".317",".283",".295","69.5",38.7,50,"87.1",26,2.4,4.1,31.3,"92.578474076",60.5,29.1,92.1,12.6
"Bauers, Jake",641343,2023,34.9,9.9,".297",".336",".306",".414",".485","75.1",24.1,49.8,"89.1",36,18.7,5.3,48.7,"95.506092133",66.1,24.6,75.6,33.3
"Segura, Jean",516416,2023,14.4,6.7,".250",".281",".296",".255",".295","69.9",33.3,39.5,"88",22.4,3.5,5.9,38.8,"94.042211093",65.1,36.9,87.7,19.2
"Rojas, Miguel",500743,2023,11.3,6.1,".271",".284",".303",".270",".286","68.8",42.2,45.3,"87.3",33.4,2.9,4.1,32,"92.848794735",67.6,32.8,91.5,16.5
"Kwan, Steven",680757,2023,10.4,9.7,".313",".317",".353",".306",".311","64.1",45.1,30.8,"86",37.7,1.1,2.8,18.8,"91.031738203",59,21.3,93.6,11.2
"Springer III, George",543807,2023,18.3,8.8,".320",".332",".335",".352",".369","72.7",26.7,52.5,"88.3",32.2,7.7,6.5,39.9,"94.297792755",73.3,23.1,84.2,22.3
"Taylor, Michael A.",572191,2023,33.5,6.7,".308",".306",".281",".434",".432","74.4",23.9,49.4,"88.1",30.6,13.5,6.6,38,"94.840009083",68.8,31.2,75,34.1
"Thaiss, Matt",642136,2023,27,11.7,".295",".331",".338",".339",".400","73.3",29.1,60.7,"88.5",34.6,10.4,6.6,40.7,"94.474114254",72.3,19,70.5,34.2
"Yastrzemski, Mike",573262,2023,26,11.8,".333",".325",".329",".404",".391","70.6",25.1,65,"90",35,9.8,11.5,44,"94.656883114",62.5,20.2,82.3,23.6
"Blackmon, Charlie",453568,2023,13.3,9.4,".350",".339",".357",".355",".340","66.9",35.2,51.2,"86.4",39,4.9,5.2,31.5,"92.81067263",65.8,28.5,86.7,19.6
"India, Jonathan",663697,2023,20.6,9.8,".327",".339",".348",".356",".374","71.3",33.1,51.8,"89.5",37.2,7.7,7.7,38.6,"94.0396352",56.9,19.6,84.8,22
"Fraley, Jake",641584,2023,18.7,9.7,".338",".328",".345",".373",".358","71.7",21.1,37.8,"84.6",38,6.4,7.1,30.8,"92.614906038",75.5,30.1,83.4,24.1
"Smith, Will",669257,2023,16.1,11.4,".345",".350",".362",".354",".361","68.6",32.3,60.9,"89.3",37.5,6.7,9.3,41.6,"94.001340492",67.9,25,83.8,19.5
"Davis, J.D.",605204,2023,27.8,9.5,".321",".323",".325",".402",".405","72.2",33.2,41.5,"91.1",33.5,9.6,6.3,45.2,"95.258851108",79.1,26.5,73.2,34
"Hampson, Garrett",641658,2023,26.6,9.1,".323",".291",".318",".399",".349","67.4",40,49.7,"86.6",37.1,3.1,5.7,28.3,"92.486054257",59.4,25.5,79.9,26.3
"Smith, Pavin",656976,2023,19.7,15.4,".293",".328",".348",".284",".338","72.7",18.8,64.7,"89.9",34.9,7.5,7.5,41.8,"94.182208207",58.1,23.2,89.8,20.1
"Hernández, Enrique",571771,2023,19.1,6.7,".282",".272",".280",".315",".302","72.3",33.3,43.5,"87.8",31,4.5,5.1,33.7,"92.980265241",66,27.9,84.1,23.6
"Yoshida, Masataka",807799,2023,14,5.9,".339",".325",".324",".366",".350","71.4",39.8,40.1,"89",29.5,6.6,3.9,40.6,"94.28056556",58.6,27.3,86.5,18.3
"Friedl Jr., TJ",670770,2023,16.2,8.5,".353",".289",".318",".383",".296","68.6",35.4,57.9,"86.7",32,3.2,2.2,27.6,"92.196228515",59,24.6,86.7,18.4
"Bryant, Kris",592178,2023,20.3,8.7,".302",".323",".324",".330",".361","69.3",26.2,46.6,"85.7",34.1,6,7.3,31.5,"92.645822586",70,25.5,84.2,25
"Ford, Mike",645801,2023,32.3,9.6,".343",".314",".301",".462",".410","71.1",25.7,55.1,"88.8",33.1,17.3,5,44.6,"94.781977914",64.6,22.9,80.4,30.4
"Rengifo, Luis",650859,2023,18.4,9.2,".339",".323",".327",".373",".351","71",37.6,54,"89.1",29.7,7.6,5.1,36.9,"93.617089135",74.5,28.7,83.1,24.5
"Swanson, Dansby",621020,2023,24.1,10.3,".325",".345",".338",".381",".413","71.5",31.3,59.7,"89.3",35.1,10.9,7.3,39.7,"94.10753236",71.3,23.6,76.4,28.7
"Suzuki, Seiya",673548,2023,22.3,10.1,".358",".357",".358",".427",".425","72.4",36.2,42.2,"91.4",36.5,10.5,8.2,48,"95.610201816",60.5,19.8,84.2,21.3
"Caballero, José",676609,2023,23.6,10,".305",".297",".331",".316",".304","69.3",26.4,61.7,"83.3",33.1,3.6,4.1,23.7,"91.572536826",57.5,29,84,23.2
"Walker, Christian",572233,2023,19.2,9.4,".351",".339",".329",".397",".380","75",26,46.3,"88",32.6,11.4,6,40.4,"94.397470475",71.3,26.1,81.1,26.4
"Berti, Jon",542932,2023,18.2,6.8,".325",".324",".333",".370",".370","72.3",29.4,37.2,"85.4",29.7,4.7,3.5,31.3,"92.905131597",65.6,21.4,87.5,19.9
"Fortes, Nick",663743,2023,18.3,5.3,".251",".262",".269",".267",".283","70.3",35,45.2,"88.2",27.1,3.8,5.8,35,"93.393950383",65.3,25.6,87.6,17.1
"McGuire, Reese",624512,2023,25.7,5.3,".293",".242",".256",".372",".296","67.5",27.4,52.5,"84",33.6,2.9,3.6,27,"91.965886641",64.5,41.9,81.4,23.1
"Kiermaier, Kevin",595281,2023,21.1,7.1,".320",".300",".320",".372",".345","69.8",33,45.8,"86.7",29.4,3.5,2.8,33.2,"93.084577651",71.6,27.4,77.9,30.6
"Freeman, Freddie",518692,2023,16.6,9.9,".411",".408",".403",".463",".461","70.5",30.2,41,"90",46.6,11.1,8.8,42.2,"94.617661541",76.1,26.9,85.7,20.4
"Straw, Myles",664702,2023,18.7,8.1,".268",".272",".303",".288",".293","66.1",36.7,32.6,"86.3",34,0.5,2.4,23.3,"91.593212265",60,23.9,88,14.1
"Perdomo, Geraldo",672695,2023,17.4,12.9,".319",".275",".318",".323",".258","65.7",42,47.9,"85.7",35.4,0.9,4.4,19.5,"91.28665535",59.4,17.1,86.8,15.1
"Diaz, Yainer",673237,2023,19.6,2.9,".354",".357",".312",".425",".430","73.7",33.3,54.9,"90.3",36.9,12.2,7.3,43.9,"95.208391603",76.4,44,82.8,27.6
"Smith, Josh",669701,2023,23.7,10.8,".287",".321",".329",".298",".355","69.4",32.4,45.1,"88.5",30.8,10.5,7.7,36.4,"93.805422714",62.2,22.2,85.2,21.3
"Merrifield, Whit",593160,2023,17.1,6.1,".304",".276",".291",".340",".304","64.8",35.7,50.5,"85.1",37.2,2.4,5.3,24.3,"91.453019024",69.8,32.5,85.1,19.5
"Encarnacion-Strand, Christian",687952,2023,28.6,5.8,".346",".346",".327",".458",".457","73.4",30.7,48.8,"90.3",38.6,10.5,8.5,48.4,"95.359737582",70.9,36.5,81.7,29.4
"Gorman, Nolan",669357,2023,31.9,11.4,".345",".354",".330",".466",".484","74",26.2,37.6,"91",38.8,16.5,7.3,48.5,"95.537335212",72.9,27.7,72,35.6
"Slater, Austin",596103,2023,28,9.7,".330",".338",".334",".417",".429","73.3",37.7,50.3,"91.1",34.6,11.8,4.7,46.5,"95.591557937",63.8,22.2,77.9,29.8
"Lopez, Nicky",670032,2023,15.3,9.9,".288",".292",".329",".279",".285","65.3",37,52.8,"86.7",32.1,1.1,5.3,23.7,"91.719033135",67.9,26.6,84.6,22
"Schmitt, Casey",669477,2023,23.5,4.7,".254",".282",".283",".298",".339","70.5",28.9,47.1,"88.1",32,6.7,3.6,34,"93.561277316",71.3,38.5,82.7,27.1
"Hicks, Aaron",543305,2023,22.1,13.5,".326",".282",".315",".363",".294","66.9",35.4,44.8,"85.3",26.4,4,3.5,29.4,"92.357553401",61.2,20.9,80.5,25.6
"Allen, Nick",669397,2023,15.8,5.2,".245",".250",".267",".263",".270","66.2",40.4,43.4,"84.8",29,1.2,3.9,26.6,"91.839086803",68,29.1,88.1,19.1
"Castellanos, Nick",592206,2023,27.6,5.4,".335",".320",".301",".441",".420","72.4",32.3,47.7,"88.9",36.5,10.3,7.4,43.2,"94.419143027",74.6,41,77.9,35.4
"Garver, Mitch",641598,2023,23.8,12.8,".374",".365",".357",".448",".434","70.8",33.8,64.8,"90",35.5,12.6,7.9,42.1,"94.653887243",61.9,17.4,83.9,23.7
"Witt Jr., Bobby",677951,2023,17.4,5.8,".343",".369",".338",".393",".427","75.1",32.7,49.9,"90.7",34.4,11.5,7.2,45.6,"95.411820457",71,30.6,83.3,22.8
"Heim, Jonah",641680,2023,19.2,8,".324",".324",".318",".369",".370","68.4",33.1,56.8,"89.2",34.3,8,6.9,38.5,"93.809775675",73.8,30.5,83.2,22.5
"Monasterio, Andruw",655316,2023,21,8.9,".302",".308",".322",".337",".346","67.1",39.9,50.1,"88.8",41.3,5.5,5.5,33.5,"92.687779124",61,22.3,83.8,21.7
"Ramírez, Harold",623912,2023,18.2,5.1,".349",".319",".318",".404",".364","72.3",31.3,32.6,"89.1",29.4,4.6,6.4,40.7,"94.469777121",71.9,43.7,82.4,28.1
"Cabrera, Miguel",408234,2023,20,8.4,".299",".301",".314",".333",".337","68.2",38.7,49.5,"89.1",34.2,4.2,7.6,37.6,"93.630273802",68.3,28.2,81.8,25.6
"Tellez, Rowdy",642133,2023,24.5,10,".288",".306",".315",".338",".365","74.5",33.3,53.1,"89.9",35.7,8.7,7.8,40.4,"94.892917074",52.9,24.2,85.4,21.9
"McLain, Matt",680574,2023,28.5,7.7,".370",".332",".327",".490",".429","70.3",39.8,52.2,"89.3",39.6,10.8,7.6,42.4,"94.354982348",57.7,25.4,79.9,28
"Wong, Connor",657136,2023,33.3,5.5,".292",".274",".266",".409",".378","71.2",29.4,47.5,"89.1",34,9.1,5.4,37.8,"94.144066723",70.7,34.5,76.2,32.3
"Kirk, Alejandro",672386,2023,10.7,10,".308",".320",".340",".294",".310","70.1",36.1,52.3,"87.6",31.9,5.2,5.5,38.3,"93.313905535",57.4,26.7,92.5,12.8
"Davis, Henry",680779,2023,27.1,9.8,".287",".291",".311",".343",".348","73.1",31,59.6,"88.6",35,7,5.7,41.4,"94.584235478",62.8,29,85.2,27
"Belt, Brandon",474832,2023,34.9,15.1,".369",".336",".335",".528",".462","72.7",20.1,43.4,"88.7",44.5,15,6,40,"94.453475333",67,17.9,74.3,32.5
"Haniger, Mitch",571745,2023,28.4,6.6,".274",".313",".297",".347",".407","71.9",33.3,50,"91",36.7,10.9,7.5,46.9,"94.934929728",64.1,25.4,80.8,27.8
"McCormick, Chas",676801,2023,25.6,8.8,".362",".341",".330",".449",".415","71",28.9,42.3,"88",38.4,11.1,8.7,38.8,"93.594692676",70.6,30.2,76.7,29.4
"Sánchez, Gary",596142,2023,25.1,7.9,".329",".343",".305",".403",".424","73.4",33.1,62.7,"90.1",27.4,15.4,5.1,44.6,"95.143946857",57.8,26.5,83.4,27.6
"Moniak, Mickey",666160,2023,35,2.8,".339",".308",".276",".512",".466","72.9",29.1,47,"89",38.9,12.6,3.5,39.2,"94.38207288",78.4,46.7,71.8,38.8
"Cooper, Garrett",643265,2023,28.9,6.8,".313",".318",".306",".410",".418","73.8",21.5,46.6,"89",40.4,10.3,7.5,41.1,"94.333162534",66.9,39.5,79.8,30.7
"Baty, Brett",683146,2023,28,7.5,".266",".300",".299",".329",".382","75.8",25.9,45.8,"89.5",33.3,7.7,6.5,44.3,"95.076203184",64.3,27.6,78.3,31.6
"O'Hearn, Ryan",656811,2023,22.3,4.1,".339",".324",".300",".422",".402","72.2",34.2,43.6,"91.9",35.1,10.1,7.8,51.5,"95.348954007",72.1,30.9,86.1,23.3
"Estrada, Thairo",642731,2023,22.6,4.2,".316",".292",".296",".384",".350","70.3",34.4,51.9,"85.9",34.7,4.8,3.7,33.7,"92.983630679",67.3,38,88.4,21.5
"García, Adolis",666969,2023,27.7,10.3,".354",".366",".334",".451",".471","73.7",27.2,60.6,"92.1",36,16.1,8.5,49.7,"96.163808523",71.5,29.3,76.5,31.6
"Siri, Jose",642350,2023,35.7,5.5,".319",".298",".259",".475",".441","73.3",30.6,44.9,"88.4",33,13.2,4.7,37.7,"94.368878077",69.7,37.9,70.2,40.3
"Taveras, Leody",665750,2023,21.1,6.3,".316",".319",".320",".374",".379","71.3",36.3,36.9,"90.1",35.2,7.2,5.5,43.1,"94.514120854",70.9,28.2,83.3,24.2
"Jansen, Danny",643376,2023,20.6,7.6,".336",".316",".305",".380",".350","70.9",30.1,61.8,"88.3",35.4,10.7,7.8,37.4,"93.548218775",69.4,25,83.9,22.9
"Higashioka, Kyle",543309,2023,28.5,5.4,".293",".309",".281",".387",".411","72.5",31.7,60,"90.1",36.6,11,7.6,48.3,"94.981513333",67.1,31,80.7,28.6
"Duffy, Matt",622110,2023,18.7,5.7,".281",".298",".323",".308",".331","67.5",40.7,34.1,"86.4",35.7,2.6,1.3,33.1,"92.368218506",64.8,28.9,84.2,23
"Alonso, Pete",624413,2023,22.9,9.9,".346",".368",".343",".402",".436","75.7",25.4,55,"89.5",32.3,14.7,6.4,40.1,"95.253955701",61.9,27.4,82.1,26.2
"Margot, Manuel",622534,2023,16.4,5.4,".299",".301",".311",".329",".331","71.6",31.3,48.8,"87.9",28.6,3.9,5.4,37.8,"93.924441765",69.3,31.4,80.8,24.4
"Marte, Starling",516782,2023,20.2,4.7,".278",".312",".314",".316",".363","70.6",9.1,58.3,"88.2",30.6,5.6,5.6,39.5,"94.129016405",71.5,37.4,81.9,27.8
"Sosa, Edmundo",624641,2023,24.7,2.7,".309",".292",".281",".387",".362","73.1",24.2,58.5,"86.8",34.1,6.7,8.7,32.2,"93.335070971",75.8,43.1,78,28.7
"Donovan, Brendan",680977,2023,14.3,8.9,".345",".354",".369",".359",".371","69.6",40.3,43.5,"89.3",37.3,5.8,7.6,40.6,"93.987172915",63.4,22.9,90.6,14.8
"Joe, Connor",656582,2023,23.3,10.6,".332",".329",".340",".383",".377","73.8",34.8,41.7,"88.9",37.2,8.2,5.6,41.8,"94.249815814",59.1,19.6,82.7,23.6
"Marte, Ketel",606466,2023,16.8,10.9,".361",".342",".353",".392",".365","73.2",31.9,52.2,"91.1",30.8,8,6,42.8,"95.10445528",67.2,24.5,85.8,20.5
"Moustakas, Mike",519058,2023,24.6,6,".294",".270",".267",".361",".327","71.6",33,52.4,"89",28.3,5.7,4.5,37.9,"93.790160498",71.5,33,80.4,27.3
"Tatis Jr., Fernando",665487,2023,22.2,8.3,".332",".364",".344",".392",".438","73",35.4,63.7,"91.9",31.5,11,7.8,49.3,"96.024566651",78.7,32.3,77.2,30.5
"Contreras, William",661388,2023,20.6,10.3,".357",".335",".338",".411",".379","73.8",38.2,64.5,"91.3",27.1,9.4,6.2,48.7,"96.097846496",62.6,24.7,79,28
"LeMahieu, DJ",518934,2023,22.2,10.7,".315",".322",".339",".357",".369","68.2",35.7,53.9,"89.6",31.6,5.9,6.4,43,"94.32212244",54.4,23.1,87,19.7
"France, Ty",664034,2023,17.6,6.5,".315",".342",".354",".329",".367","71.8",29.6,49.3,"87.5",36.9,6.8,5.1,38.6,"93.765945224",74,33.3,89.1,21.9
"Rizzo, Anthony",519203,2023,23,8.3,".312",".319",".330",".357",".367","68.8",34.2,44.3,"90",41.2,6.9,6.9,37.5,"93.823202582",64.1,34.1,84.6,25
"Raleigh, Cal",663728,2023,27.8,9.5,".326",".330",".307",".415",".422","75",27,50.1,"89.5",36.5,12.6,7,41,"94.749354873",70.9,31.4,78.8,29.9
"Mateo, Jorge",622761,2023,23.4,6.3,".265",".289",".290",".315",".349","73.4",32.8,38.5,"88.4",28.3,5.3,9.4,38.5,"94.295455274",68.1,33.9,82.5,28.1
"Stott, Bryson",681082,2023,15.6,6.1,".323",".309",".319",".354",".336","67.9",38.8,48.8,"88.1",36.4,4.7,5.3,35.2,"92.802445092",59.1,29.5,87.8,15.3
"Nimmo, Brandon",607043,2023,21.4,10.9,".359",".352",".353",".411",".400","72.7",37,45.2,"91.8",33.5,9.5,6.4,47.9,"95.462726837",62.3,19.9,84.3,22
"Benintendi, Andrew",643217,2023,14.3,8.4,".299",".310",".334",".313",".327","67",39,56.8,"86.6",40.9,2.9,3.4,27,"91.757391695",70.4,26.6,83.8,19.3
"Pillar, Kevin",607680,2023,24.3,2.9,".280",".295",".274",".356",".377","71",31.9,50.8,"87.9",39.3,8,6,38.7,"93.29131396",72.8,40.4,81.9,26.5
"Soto, Juan",665742,2023,18.2,18.6,".395",".407",".420",".426",".446","74.6",38,57.3,"93.2",28.5,13,7.6,55.3,"97.215905977",57.8,16.6,85.5,20.5
"Sánchez, Jesús",660821,2023,26.6,9.5,".334",".350",".339",".419",".444","74.4",28.8,46.2,"90.4",32.9,12.2,4.7,46.3,"95.857175913",68.8,31.4,78.9,30.1
"Trout, Mike",545361,2023,28.7,12.4,".368",".389",".380",".473",".510","72.9",0,14.3,"91.9",38.3,16,5.8,51.9,"96.666975874",69.8,19.7,75.9,29.3
"Gelof, Zack",680869,2023,27.3,8.7,".357",".333",".325",".461",".424","71.5",34.8,55.4,"89.8",38.6,11.1,7.9,41.3,"94.270075904",71.6,28.9,72.4,33.7
"Fairchild, Stuart",656413,2023,27.1,9.8,".312",".314",".324",".374",".377","70.4",27.3,63.4,"85.9",32.3,7.7,9,29.7,"92.766466376",75.6,24.4,75.1,33.9
"Andrus, Elvis",462101,2023,17.5,6.2,".290",".267",".286",".320",".290","68.3",37.6,58.2,"87.5",28.1,2.6,4.9,31,"92.978938439",61.4,28,88.1,20.1
"Ramírez, José",608070,2023,10.6,10.6,".346",".359",".373",".359",".375","70.5",40,53.1,"90",36.8,7,6.3,40.4,"94.35370079",67.2,28.2,91.2,15.6
"Crawford, Brandon",543063,2023,25.3,8.8,".260",".294",".296",".296",".348","71.5",32.5,52.4,"89.8",32.4,10.1,4.3,43,"94.12075299",74.3,31.2,80.9,29.6
"Waters, Drew",671221,2023,31.8,8,".296",".311",".304",".390",".417","73",24.7,43.6,"87.4",38.4,10.1,7.6,35.9,"93.391262626",73,31.8,76.9,32.5
"Matos, Luis",682641,2023,13,7.9,".295",".304",".326",".297",".308","72.2",36.1,37.7,"87.1",38.6,2,7.1,31,"92.870265619",69.7,25.4,89.6,17.2
"Westburg, Jordan",676059,2023,24.6,7,".309",".315",".316",".378",".387","70.2",34.6,61.1,"90.2",38.1,6.5,10.3,44.5,"94.800749545",69.9,28.4,81.5,26
"Mullins II, Cedric",656775,2023,22.2,9.5,".311",".291",".302",".359",".329","71.1",34.3,62.2,"88.9",28.1,6.5,3.5,37.1,"93.556146126",70.8,26.7,80.2,24.9
"Escobar, Eduardo",500871,2023,25.2,5.8,".267",".244",".250",".329",".296","68.3",32.4,44.5,"86.3",30.5,3.8,5.6,30.6,"92.269302067",68.2,36,77.2,28.3
"Naylor, Bo",666310,2023,23,13,".347",".309",".322",".401",".342","72.1",24.1,51.2,"87.7",37,8.2,3.4,30.8,"92.697509448",66.5,23.9,84.9,21.8
"Chapman, Matt",656305,2023,28.4,10.7,".328",".337",".323",".411",".426","75.5",31.3,63.6,"93.4",32.4,17.1,7.8,56.4,"96.813201603",66.6,18.9,72.8,31.1
"Bleday, JJ",668709,2023,23.8,13.9,".297",".298",".316",".317",".318","72.5",33.9,59.4,"88.6",29.9,6.4,4.3,35.3,"93.234953169",68.7,20,79.2,28.2
"Kelenic, Jarred",672284,2023,31.7,9.9,".321",".333",".338",".437",".457","72.2",30.2,47.7,"90.9",38.8,9.5,9.9,45.5,"95.139393983",66.4,28.5,77.3,33.8
"Kepler, Max",596146,2023,21.6,9.2,".348",".362",".344",".407",".428","72.3",33.7,49.3,"91.9",35.7,12.2,8.6,47.9,"95.65094244",70.2,24.9,88.1,19.8
"Casas, Triston",671213,2023,25.1,13.9,".367",".370",".360",".445",".449","75.8",28.3,51.2,"91.1",36.1,13.1,7.5,46.6,"95.686960262",66.5,22.1,77.3,28.1
"Langeliers, Shea",669127,2023,29.2,6.9,".290",".297",".273",".376",".387","74.6",36.3,64.5,"90.6",30.8,13.3,6.8,44.5,"95.365956026",69.9,31.2,76,32.1
"Miller, Owen",680911,2023,19.4,5.4,".292",".288",".297",".337",".332","69.2",30.4,53.3,"86.3",34.2,3.4,6,30.8,"92.584463305",63.8,31.5,86.6,18.4
"Moreno, Gabriel",672515,2023,19.7,7.6,".325",".314",".326",".370",".356","70.3",34.5,40.8,"89.8",32.6,4.8,6.2,41.8,"94.156039559",57.3,26.3,88,19.7
"McCutchen, Andrew",457705,2023,21.1,15.9,".345",".353",".382",".369",".382","71.8",29.8,57.3,"89.6",33.7,6.8,7.8,44.6,"94.60717314",64.4,18.6,80.1,27.4
"Correa, Carlos",621043,2023,22.6,10.2,".309",".327",".332",".353",".380","74.8",34.4,45.8,"90.4",31.1,9.6,7,45.9,"95.635527984",62.1,26.7,83.4,25.1
"Flores, Wilmer",527038,2023,13.9,9,".368",".333",".332",".392",".347","67.5",35.4,55.8,"86.4",36.2,7.8,6.7,32.5,"92.72835564",62.7,28.2,88.4,15.8
"Laureano, Ramón",657656,2023,28.2,8.2,".298",".307",".312",".366",".381","71.1",31.6,44.5,"88.2",34.7,9.7,4.4,35.9,"93.530379634",66.1,27,83.5,29
"De La Cruz, Elly",682829,2023,33.7,8.2,".305",".303",".306",".429",".428","76.7",25.1,41.8,"91.2",30.5,8.5,4.5,45.9,"95.774707273",60.7,32.8,79.8,29.7
