"last_name, first_name","player_id","year","k_percent","bb_percent","woba","xwoba","xobp","wobacon","xwobacon","avg_swing_speed","squared_up_contact","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_hyper_speed","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Gurriel Jr., Yuli",493329,2022,12.5,5.1,".285",".271",".286",".297",".280",,,,"88.2",30.3,1.9,4.4,35.6,"93.270425297",63.1,34.9,91.8,14.3
"Wong, Kolten",543939,2022,17.7,9.3,".336",".305",".327",".361",".318",,,,"87",33.5,5.4,6.3,35.5,"92.864768387",64.2,22,85.7,20.4
"Vierling, Matt",663837,2022,19.6,6.4,".285",".324",".328",".321",".374",,,,"91.2",35.2,5,7.7,47.1,"94.995167231",59.9,28.3,86.9,19.5
"Friedl Jr., TJ",670770,2022,15.5,7.8,".323",".283",".295",".338",".284",,,,"87.2",30.9,4.7,6.8,29.8,"92.6816085",63.1,24,85,20.3
"Urías, Luis",649966,2022,21,10.6,".327",".326",".335",".359",".358",,,,"87.3",34.3,8.3,5.4,35.3,"93.080449903",63.2,23.3,80.4,22.2
"Hosmer, Eric",543333,2022,15.3,8.8,".313",".311",".327",".337",".335",,,,"88.4",29.3,5.7,5.7,39.7,"94.690963706",67,33.8,90.1,18.9
"Winker, Jesse",608385,2022,18.8,15.4,".313",".345",".369",".311",".361",,,,"87.7",32,7.6,3.1,34.3,"93.339254492",68.1,18.8,85.6,19.9
"Celestino, Gilberto",665482,2022,22.2,9.2,".280",".270",".297",".312",".298",,,,"87.3",27.1,2.5,4.2,34.3,"93.262711767",65.7,21.8,82.6,23.4
"Carlson, Dylan",666185,2022,19.3,9.2,".306",".301",".316",".333",".326",,,,"86.1",35.7,4.4,7.3,27.2,"92.150882262",67.8,24.8,79.5,25.7
"Molina, Yadier",425877,2022,14.8,1.9,".235",".254",".251",".262",".286",,,,"84.7",34.1,3.1,4.9,26,"91.560423363",75.2,41.3,81,22
"Schoop, Jonathan",570731,2022,21,3.7,".245",".268",".267",".286",".318",,,,"87",29.1,4.8,6.6,38.6,"93.993791257",75.2,36.8,81.3,28.2
"Gurriel Jr., Lourdes",666971,2022,16.8,6.3,".327",".321",".328",".364",".356",,,,"90.6",34.7,3.8,8.9,45.7,"94.662022446",68.4,29.6,85.6,21.3
"Hernandez, Yadiel",628450,2022,22.6,5.8,".315",".313",".296",".383",".381",,,,"88.8",35.6,8.6,7.7,42.1,"93.716495522",72.9,31.5,76.3,29.5
"Torres, Gleyber",650402,2022,22.6,6.8,".328",".319",".298",".398",".385",,,,"90.4",36.2,10.7,8.5,45.3,"94.660057845",71.9,27.7,77.7,27.2
"Nola, Austin",543592,2022,15.1,8.6,".290",".305",".330",".295",".316",,,,"89.4",35.4,2.4,6.7,39.7,"93.682414983",63,20.6,91.5,14.4
"Witt Jr., Bobby",677951,2022,21.4,4.7,".311",".313",".294",".374",".377",,,,"89.7",32.5,8.7,4.6,38.6,"94.527115512",70.4,34.7,82.1,25.2
"Ozuna, Marcell",542303,2022,24.1,6.1,".298",".334",".300",".364",".417",,,,"89.4",31.8,13.1,4,43.8,"95.035047714",68.2,33.4,80.4,28.7
"Dickerson, Corey",572816,2022,16.2,4,".303",".293",".297",".343",".330",,,,"87.8",32.8,3.8,3.8,32.8,"93.019717253",76.3,40.8,82.9,22.8
"Raleigh, Cal",663728,2022,29.4,9.2,".330",".324",".290",".432",".422",,,,"90.9",36,15.4,8.7,43.5,"95.046335375",77.6,31.1,75.4,32.1
"Smith, Josh",669701,2022,19.8,11.1,".262",".296",".330",".249",".301",,,,"87",34.5,2.4,5.4,28.6,"92.093542209",61.4,21.1,81.9,23.4
"Buxton, Byron",621439,2022,30.4,8.9,".356",".358",".323",".478",".481",,,,"92.9",34.2,16.4,7.1,50.2,"96.593327289",66.2,26.8,75,34.1
"Taveras, Leody",665750,2022,25.8,6.2,".297",".267",".277",".372",".327",,,,"89.3",28.7,4.3,3,36.1,"93.803918054",68.1,31.7,79.9,28.5
"Jeffers, Ryan",680777,2022,26.3,9.7,".287",".315",".295",".345",".388",,,,"88.2",35.8,13.2,11.9,42.4,"94.809587415",66.8,25.9,82.8,22.6
"Correa, Carlos",621043,2022,20.5,10.3,".362",".360",".350",".420",".418",,,,"89.9",35.3,11.4,5.7,44.7,"95.284200765",63.3,26.9,84.7,22
"Hampson, Garrett",641658,2022,27.9,9.3,".267",".261",".282",".321",".312",,,,"86.5",29.8,4.3,4.3,27.7,"92.495778992",60.2,27.9,81.3,25.4
"Swanson, Dansby",621020,2022,26.1,7,".337",".337",".314",".431",".430",,,,"90.2",37,10.8,8,46.3,"94.810341952",72.4,26.4,76.2,30.7
"Lowe, Brandon",664040,2022,22.9,10.2,".306",".317",".319",".347",".363",,,,"89.4",35.4,10.3,4.6,38.9,"94.284977069",77.9,29.9,75.9,33.5
"Ortega, Rafael",542364,2022,19.9,11.9,".305",".307",".334",".327",".331",,,,"87.2",37.6,4.8,5.2,33.7,"92.750083049",67.5,25.8,88.7,19.6
"Taylor, Tyrone",621438,2022,25.2,5.4,".314",".307",".289",".391",".380",,,,"88",34.7,9.9,7.3,37.6,"93.742033346",68.8,32.3,84.1,26.5
"Moustakas, Mike",519058,2022,26.3,8.4,".286",".270",".281",".337",".311",,,,"87.6",36.1,6.1,5.6,33.9,"93.461727111",74.2,37.4,80.8,29.2
"Urshela, Gio",570482,2022,17.4,7.4,".332",".323",".324",".374",".362",,,,"88.9",38.6,7,6.6,37.6,"93.736875907",71.2,36.1,84.8,21.4
"Thomas, Lane",657041,2022,24.1,7.5,".308",".286",".286",".371",".339",,,,"86.4",32.6,6.5,5.7,34.5,"93.255458474",61.4,26.1,85.4,21.1
"Arenado, Nolan",571448,2022,11.6,8.4,".381",".339",".335",".401",".349",,,,"88.8",35.4,8.2,7.8,38.9,"93.952810862",66.9,32.6,88.3,19.1
"Tapia, Raimel",606132,2022,18.7,3.7,".293",".286",".284",".346",".336",,,,"87.6",27.5,5.1,3.3,38,"93.926071212",70.3,42.3,85.1,21.5
"Paredes, Isaac",670623,2022,17.6,11.5,".323",".297",".310",".338",".301",,,,"87.4",27.4,6.4,6.4,38.7,"93.255665472",60.7,20.5,89,16.5
"García, Luis",671277,2022,22.3,2.9,".303",".305",".285",".378",".381",,,,"87.3",37.4,7.5,7.1,36.7,"93.569820789",67.6,40.8,80.5,27.1
"Yepez, Juan",660766,2022,22.3,5.8,".319",".286",".263",".386",".340",,,,"86.5",33.2,9.2,5.6,33.7,"93.337373827",73.6,37.1,83.7,26.1
"McCarthy, Jake",664983,2022,21.5,6.5,".337",".298",".310",".399",".343",,,,"87.4",32.5,4.8,3.2,33.7,"93.298753151",74.7,29.7,78,28
"Grandal, Yasmani",518735,2022,21,12,".263",".290",".317",".268",".308",,,,"90",30,4.8,6.4,40,"94.06261824",58.6,20.8,85.3,21.6
"Peralta, David",444482,2022,23.3,8.4,".315",".313",".318",".378",".375",,,,"90.3",35,8.5,9.1,44.4,"94.9223429",69.2,32.9,85.7,26.4
"Bellinger, Cody",641355,2022,27.3,6.9,".284",".278",".271",".357",".348",,,,"89.4",34.4,8.3,5.8,38.1,"93.243694234",68.2,31.7,77.5,27.2
"Schwindel, Frank",643524,2022,19.9,6.5,".278",".278",".281",".318",".320",,,,"88.1",31.6,4.7,7.9,35.5,"93.354396573",73.8,36.8,79.3,26.5
"Naquin, Tyler",571980,2022,27.8,5.7,".303",".317",".299",".396",".418",,,,"90.3",39.9,9.6,6.9,40.8,"94.925001896",79.4,37.8,74.6,30.5
"India, Jonathan",663697,2022,21.8,7.2,".314",".301",".318",".357",".339",,,,"85.1",36,4.8,4.5,28.8,"92.71951917",56.9,24.5,84.9,23.6
"Escobar, Eduardo",500871,2022,23.8,7.4,".311",".314",".300",".381",".385",,,,"88.3",38.7,9.4,8.9,37.6,"93.799689784",73.5,34,79.3,27.7
"Duvall, Adam",594807,2022,32.1,6.7,".295",".293",".274",".399",".396",,,,"88.3",36.2,12.8,7.4,41,"94.3357175",67.4,34.3,78.6,29.2
"Myers, Wil",571976,2022,30.1,7.3,".311",".288",".285",".416",".382",,,,"88.5",37.6,7.3,7.9,37.6,"93.5431",61.5,29.7,76.4,31.2
"Fortes, Nick",663743,2022,18.8,7.5,".308",".317",".319",".336",".349",,,,"89.3",30.2,7,5.2,37.8,"93.908283529",64.7,25.3,85.6,22.9
"Nimmo, Brandon",607043,2022,17.2,10.5,".353",".338",".353",".377",".355",,,,"89.4",28.1,7,3.6,39.8,"94.354698482",64.8,21.2,85.9,19.6
"Stassi, Max",545358,2022,29.9,10.1,".258",".266",".268",".311",".325",,,,"88.6",26,9.4,4.9,39.5,"93.67534181",66.2,21.1,73.6,34
"Garver, Mitch",641598,2022,24.7,10.7,".308",".319",".313",".358",".374",,,,"88.9",37.2,8.8,11.7,38.7,"93.963293942",61.5,21.9,80.3,25.3
"Chavis, Michael",656308,2022,29.6,4.5,".282",".261",".256",".380",".348",,,,"85.4",33,7.5,6.1,38.7,"93.803336787",76.7,39.1,79.1,30.8
"Abreu, José",547989,2022,16.2,9.1,".361",".373",".372",".393",".410",,,,"92.2",34.5,9.5,7.7,51.8,"96.20270568",66.1,29.8,85.3,23.2
"Joe, Connor",656582,2022,20.8,11.8,".314",".311",".342",".336",".333",,,,"85.3",35.1,4.5,3.9,33.8,"92.833330754",58.5,21.7,85.3,21.2
"De La Cruz, Bryan",650559,2022,25.4,5.4,".313",".355",".327",".397",".458",,,,"90.8",43.6,11.9,6.2,47.3,"95.226009918",70.7,31.1,78.7,28.7
"Kwan, Steven",680757,2022,9.4,9.7,".341",".312",".348",".335",".298",,,,"85.1",34.6,1.4,2.6,20.8,"91.134248486",55.1,20.2,93.7,9
"Varsho, Daulton",662139,2022,24.5,7.8,".323",".298",".285",".392",".355",,,,"87.7",33.6,10.2,8.4,35.6,"93.6867316",69.1,30.5,78.2,25.3
"Greene, Riley",682985,2022,28.7,8.6,".303",".316",".318",".384",".406",,,,"89.5",32,9.3,5,45.2,"95.266459961",64.3,27.6,82.4,25.6
"Reyes, Victor",622682,2022,22.9,3.9,".284",".292",".297",".345",".357",,,,"87.9",35.5,5,5,36.8,"93.571189707",71.5,42.6,73.9,27.3
"Fraley, Jake",641584,2022,21.9,10.5,".352",".333",".338",".409",".382",,,,"85.1",33.5,7.3,5.5,27.6,"92.417868519",68.8,25,84,24.1
"Velazquez, Andrew",623205,2022,34.1,4.3,".239",".246",".243",".337",".350",,,,"88",33,6.6,6.6,34,"93.494339433",76.8,29.3,70.4,34.3
"Margot, Manuel",622534,2022,18.7,6.6,".308",".299",".316",".351",".339",,,,"89.5",30.9,3.7,3.7,37.9,"94.191039654",74.4,32.6,83.6,24.9
"Pham, Tommy",502054,2022,26.8,9,".304",".311",".315",".371",".383",,,,"92.2",33.2,7.9,8.2,48.5,"95.778101436",60.8,21.6,82.8,26
"Freeman, Freddie",518692,2022,14.4,11.9,".393",".403",".400",".426",".440",,,,"91.3",42.9,9.9,8.5,47.8,"95.094269494",73.9,27.3,85.8,19.5
"Siri, Jose",642350,2022,33.2,6.2,".268",".261",".262",".367",".355",,,,"87.2",35.1,6.2,5.2,33,"93.653804368",69.3,36.4,73.2,35.9
"Aguilar, Jesús",542583,2022,23.5,5.5,".288",".298",".288",".350",".364",,,,"87.7",39.7,6.9,7.7,36,"93.301003066",64.7,36.3,82.2,27
"Ramírez, José",608070,2022,12,10.1,".363",".320",".337",".385",".331",,,,"87.7",33.7,6.6,6.4,36.9,"93.503434175",66.4,28.7,90.1,15.3
"Kemp, Tony",643393,2022,12.4,8.1,".287",".267",".294",".284",".257",,,,"84.4",33.9,1.6,4.1,14.9,"90.545713639",68.4,29.4,89.7,13.4
"Benintendi, Andrew",643217,2022,14.8,10,".342",".334",".347",".361",".351",,,,"89.2",39.2,5.1,6.2,38.7,"93.391636347",73.2,22.7,81.9,20.7
"Castillo, Diego",660636,2022,26.5,4.9,".272",".292",".273",".344",".374",,,,"89.1",37.7,9.9,8.4,38.7,"93.490571675",57.1,30.4,81,26.9
"Crawford, Brandon",543063,2022,21.4,8.5,".289",".287",".300",".322",".319",,,,"88.1",31,6.7,5.4,35.1,"93.081156699",76.2,26.2,75.2,31.9
"Castro, Rodolfo",666801,2022,26.7,7.9,".314",".280",".276",".395",".344",,,,"87.3",25.6,6.7,7.2,35,"93.717343409",67.7,27.5,75.9,32.8
"Dalbec, Bobby",666915,2022,33.4,8.2,".287",".296",".287",".390",".406",,,,"90.3",32,11.8,6.4,45.8,"94.95935203",66.3,29.1,75.5,35
"Hernández, Enrique",571771,2022,17.7,8.5,".280",".297",".308",".296",".319",,,,"87.8",33.3,5.8,3.4,35,"93.474506164",70.7,27.2,85.3,24.6
"Mountcastle, Ryan",663624,2022,25.3,7.1,".316",".362",".332",".393",".463",,,,"91.3",39.5,15,4.7,46.3,"95.335163391",79.1,37.8,78,29.8
"Gamel, Ben",592325,2022,23.2,11.3,".308",".316",".335",".349",".362",,,,"88.8",38,6.2,6.2,37.6,"93.815298881",64.9,23.7,86.7,24.1
"Murphy, Sean",669221,2022,20.3,9.2,".331",".344",".340",".371",".390",,,,"88.7",34.7,10.5,6.5,41.4,"94.706891435",71.1,29.5,82.7,24
"Rojas, Josh",668942,2022,19.2,10.8,".326",".305",".324",".360",".330",,,,"88.8",33.5,4.5,4.8,36.1,"93.265048338",62.5,19.9,83.5,22.3
"Renfroe, Hunter",592669,2022,23.2,7.5,".347",".323",".303",".424",".390",,,,"90.5",32.7,10.9,6.4,43.6,"95.173188394",66.2,31.8,81.2,27
"Lindor, Francisco",596019,2022,18.8,8.4,".342",".331",".326",".385",".370",,,,"89.3",29.2,8.3,6.2,41.3,"94.14308743",68.1,29.9,85.5,22.9
"Hedges, Austin",595978,2022,23.1,7.4,".225",".238",".257",".239",".257",,,,"84.2",31.9,3.1,4.4,22.3,"91.52196977",68.4,28.5,80.8,27.7
"Higashioka, Kyle",543309,2022,21,4.8,".282",".317",".291",".334",".381",,,,"90.9",36.6,9.8,4.9,48.1,"95.189627056",72.2,28.5,81.5,26.8
"Hoskins, Rhys",656555,2022,25.1,10.7,".345",".338",".327",".419",".408",,,,"90.1",37.3,11.1,5.9,44.3,"94.804616643",60.7,23.2,82.8,25.7
"Chisholm Jr., Jazz",665862,2022,27.4,8.7,".365",".345",".320",".473",".442",,,,"90.4",37.3,16.7,4.7,46.7,"94.818931905",67.6,27,74.6,32.8
"Díaz, Aledmys",649557,2022,16.2,5.5,".301",".308",".306",".333",".343",,,,"86.6",30.3,6.3,5.9,36.8,"93.589932143",74.2,33,83.7,22.7
"Arroyo, Christian",624414,2022,16.3,4.3,".319",".330",".330",".363",".378",,,,"88.9",34.9,6.4,4.3,42.1,"94.490642232",76.8,40,90,20.5
"Alvarez, Yordan",670541,2022,18.9,13.9,".427",".460",".427",".495",".544",,,,"95.2",40.7,21,7.5,59.8,"98.195923324",63.7,24.8,87.4,23.5
"Duran, Jarren",680776,2022,28.3,6.3,".284",".282",".281",".358",".355",,,,"89.3",27.5,7.7,5.6,38,"93.807350882",68.9,31.5,82.6,28.2
"Newman, Kevin",621028,2022,15.5,5.2,".303",".285",".304",".334",".312",,,,"85.8",31.7,1.6,3.3,27.2,"92.167220464",64.9,31.2,90.3,15.8
"Bohm, Alec",664761,2022,17.4,4.9,".310",".333",".327",".353",".383",,,,"90.2",37.7,6.8,6,43,"94.552579815",72,31.4,83.9,21.1
"Haniger, Mitch",571745,2022,26.3,8.1,".319",".326",".307",".402",".412",,,,"91.9",31.1,11.8,8.1,47.2,"95.72188441",65.7,26.4,80.2,29.6
"Allen, Nick",669397,2022,19.6,5.8,".245",".238",".259",".273",".264",,,,"83.9",26,1.2,3.3,22.3,"91.214480087",73.7,32.3,84.5,23.4
"Olson, Matt",621566,2022,24.3,10.7,".344",".347",".334",".417",".422",,,,"92.9",33.8,13.6,7.6,50.9,"96.545680491",73.9,28.5,76.6,28.9
"Vargas, Ildemaro",545121,2022,10.4,3.6,".302",".255",".265",".315",".260",,,,"87",28.2,2.1,4.3,29.3,"92.531312459",64.7,30.7,90.3,12.1
"Turner, Justin",457759,2022,16.7,9.4,".343",".339",".343",".372",".367",,,,"89.5",40.6,8,6.2,40.6,"93.736858523",70.4,26.7,84,20.3
"Brantley Jr., Michael",488726,2022,10.8,11.2,".345",".374",".390",".345",".383",,,,"89.8",39.5,6,6.5,45.1,"94.323002844",62.3,21.9,91.1,12.7
"Giménez, Andrés",665926,2022,20.1,6.1,".364",".326",".336",".422",".368",,,,"87.8",31.3,6.2,6.5,37.8,"93.615976351",70.9,38.4,79.6,26.4
"Acuña Jr., Ronald",660670,2022,23.6,9.9,".335",".366",".358",".397",".444",,,,"91.2",32.8,12.8,6.1,49.7,"96.440064282",73.5,24.3,80.6,24.9
"Santander, Anthony",623993,2022,18.9,8.5,".336",".352",".335",".373",".395",,,,"90.1",33.5,11.6,8.1,43.3,"94.979132939",65.5,32.5,86,21.5
"Franco, Maikel",596748,2022,19.3,3.1,".261",".272",".270",".306",".321",,,,"87",33.1,4.7,5.7,34.4,"93.432468176",68.3,38.5,78.2,28
"Pederson, Joc",592626,2022,23.1,9.7,".373",".364",".346",".453",".440",,,,"93.2",34.2,15.1,5.6,52.1,"96.58467276",65,29.6,84.9,24.5
"Taylor, Chris",621035,2022,35.2,9.7,".298",".277",".282",".417",".379",,,,"87.4",40.8,10.2,6.1,38,"93.447132946",75.2,23,67.6,39.9
"Franco, Wander",677551,2022,9.6,7.6,".323",".331",".340",".329",".338",,,,"87.3",35.1,4.6,4.9,35.8,"93.287600772",73.1,30.1,92.5,13.3
"Slater, Austin",596103,2022,27.4,12.3,".344",".351",".363",".421",".432",,,,"89",43.2,10.5,6.8,39.5,"94.170847514",67.3,26.5,75.6,31.5
"Torkelson, Spencer",679529,2022,24.5,9.2,".272",".302",".305",".307",".354",,,,"90.5",35.4,8.4,8,41.8,"94.657766412",67,24.7,82.1,25.6
"Kepler, Max",596146,2022,14.8,11,".298",".338",".353",".294",".349",,,,"89.1",31.9,7.1,5.2,39.9,"94.217393221",70.6,23.5,87.2,20
"Luplow, Jordan",656669,2022,25.6,10.7,".281",".288",".293",".320",".331",,,,"87.2",24,7.5,4.8,32.9,"92.98903131",72.2,24.3,77.1,29.9
"Hoerner, Nico",663538,2022,11,5.4,".320",".301",".318",".336",".314",,,,"87.2",32.4,2.6,4.7,33.5,"92.920531108",65.1,33.8,92.6,14.2
"Rodríguez, Julio",677594,2022,25.9,7.1,".366",".337",".319",".471",".428",,,,"92",32.7,13.1,8.4,50.7,"96.379006446",70.5,33.5,80.1,30.4
"Ohtani, Shohei",660271,2022,24.2,10.8,".370",".383",".358",".461",".481",,,,"92.9",35,16.8,5.6,49.8,"96.520363788",72.1,28.4,76.9,28.1
"Ruf, Darin",573131,2022,27.1,11.6,".291",".310",".321",".335",".367",,,,"89.2",34.5,8.6,8.2,40.5,"94.46914931",56.8,24.1,80.6,27.5
"Cronenworth, Jake",630105,2022,19.2,10.2,".318",".303",".319",".341",".318",,,,"87.6",32.3,5.6,6.9,34.1,"93.091918039",60,21.6,88.6,18
"Vaughn, Andrew",683734,2022,17.3,5.6,".327",".319",".311",".366",".357",,,,"90.8",34.1,7.9,10,48.6,"95.12858284",61.4,32.8,87.8,21
